PRICE0,PRICE1,PRICE5,PRICE10,SALES0_0,SALES0_1,SALES0_5,SALES0_10,SALES1_0,SALES1_1,SALES1_5,SALES1_10,SALES5_0,SALES5_1,SALES5_5,SALES5_10,SALES10_0,SALES10_1,SALES10_5,SALES10_10
4.9100582394,4.9100582394,4.9100582394,4.9100582394,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414,94.6394028414
3.2165313191,3.2165313191,3.2165313191,3.2165313191,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357,97.3021242357
5.9782820188,6.9782820188,10.9782820188,15.9782820188,94.5051232225,93.5051232225,89.5051232225,84.5051232225,95.5051232225,94.5051232225,90.5051232225,85.5051232225,99.5051232225,98.5051232225,94.5051232225,89.5051232225,104.5051232225,103.5051232225,99.5051232225,94.5051232225
4.0427849328,4.0427849328,4.0427849328,4.0427849328,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393,96.1056077393
4.0176616757,4.0176616757,4.0176616757,4.0176616757,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426,95.1233362426
6.1079700538,6.1079700538,6.1079700538,6.1079700538,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111,94.5430807111
4.6745646355,4.6745646355,4.6745646355,4.6745646355,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219,94.594193219
5.6271678661,5.6271678661,5.6271678661,5.6271678661,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823,94.3104506823
3.6441295392,3.6441295392,3.6441295392,3.6441295392,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051,97.0007610051
4.4172628643,4.4172628643,4.4172628643,4.4172628643,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722,95.9872367722
