GPA,PARTICIPATION,GENDER,EMAIL
7.3868984359,1,0,1
6.4935965883,1,1,1
4.9566251217,0,1,1
7.442979249,1,1,0
6.2815211566,0,1,1
5.3912698118,0,0,1
4.645206064,0,0,0
7.4139124934,1,0,0
5.7513051442,0,1,0
6.2755540964,1,1,0
5.5454235352,0,1,1
7.2803557177,1,0,0
5.9776547667,0,0,1
5.9239678447,1,0,1
5.8952242815,0,0,1
5.2990326512,0,0,0
7.0613100466,0,0,0
5.1127540347,0,1,0
5.9245063472,0,0,1
7.2614376837,0,0,1
6.2353734962,0,0,0
6.8558056042,0,0,0
6.6043479694,1,0,0
6.9601824394,1,0,1
5.2727345245,0,1,1
5.869156083,1,0,1
5.6214899287,0,0,0
5.9507036014,0,0,1
7.3629043685,0,0,0
6.1300746559,0,0,0
4.1833759545,0,0,0
6.4818643388,1,1,1
5.7308965336,0,0,0
6.4918265329,1,1,1
4.3716620272,0,1,0
6.8650358292,1,0,1
6.6421462918,1,1,1
5.1124341729,1,0,1
6.4338531311,0,0,1
5.3517744626,0,1,0
6.7281326245,1,0,1
5.6609705084,0,0,1
6.1246526069,0,1,1
5.795683486,0,0,0
6.0843923012,0,1,0
7.0569765838,0,1,0
6.0056386068,1,0,1
6.0840220085,0,1,1
6.4968079199,1,1,1
5.8166711675,0,1,0
6.1502812957,0,1,0
5.7382595072,0,1,0
7.108947748,1,0,0
7.6243957872,1,1,1
5.0349531241,0,1,1
5.320502571,0,0,0
6.1544929051,0,0,1
6.6178938344,0,0,0
5.9357380526,1,0,1
7.4353376954,1,0,1
6.0684429277,0,0,0
5.6459783642,0,0,0
6.5150268577,1,1,0
6.5743914592,1,1,1
4.6740128757,0,0,0
6.2559556939,1,1,1
5.5067795847,0,0,1
5.8582215271,1,1,1
6.2631490965,0,1,0
6.214142466,0,1,0
5.6040216105,0,1,0
7.0185825043,1,0,1
5.9312667284,0,0,1
5.5730337769,0,1,1
6.4177590368,1,1,0
4.8777343707,0,1,0
6.5052029365,0,1,0
5.4695808789,1,1,1
7.4947210652,0,0,0
5.1254255645,0,0,1
6.5254648054,0,1,0
6.2931069696,0,1,0
6.855596781,1,1,1
6.337157397,0,0,0
5.5221859849,0,1,0
5.7821583306,1,1,1
6.5903886647,0,0,1
5.6002815925,1,1,1
4.8056949356,0,1,0
5.3582553206,0,1,0
7.409959894,1,0,0
6.8801595532,0,0,0
5.1879016752,1,1,1
5.7621053745,0,0,0
4.3650737963,0,1,0
5.9019243447,1,0,1
6.1702569776,1,0,1
5.0418891498,0,1,1
5.4046341194,1,1,1
5.1684173955,0,1,1
4.851400979,0,0,1
6.2853229933,0,0,0
7.0929999524,1,1,0
6.0246137527,0,1,0
7.1428805169,0,0,0
6.3933334185,1,1,0
5.7951698349,0,1,1
5.5621519728,0,1,1
6.0828216512,0,0,0
7.1086078837,1,1,0
5.3456168674,0,1,0
4.83197003,0,0,1
5.5087798507,0,1,0
5.0542840886,0,0,0
5.7751093553,0,0,0
6.4072801436,0,1,0
6.0570721696,1,1,0
5.9500628529,0,0,1
5.7028440383,1,0,1
6.2344332079,0,1,0
5.6400475911,0,1,1
5.3175811896,1,0,1
6.8164528122,1,0,1
5.8223766859,1,1,1
6.4439377954,0,0,0
6.2397386742,0,0,1
7.2007870461,0,1,0
5.6636502505,0,0,0
5.6685856391,1,0,0
5.8552071249,0,1,1
6.772764187,0,1,0
6.7441880618,0,1,0
6.2858521839,1,1,1
5.3143211272,1,0,1
5.6380670256,0,0,1
4.9954011049,0,1,0
4.7735518537,0,0,1
5.5032668252,0,1,0
6.224337246,0,1,0
6.1489067764,1,0,1
5.0979313041,0,0,1
6.7367789569,1,1,0
6.0381324533,0,0,1
5.3539762429,0,0,0
5.089144064,1,0,1
5.5953664454,0,1,1
5.6151928369,0,1,0
6.5150651276,0,0,0
5.5950469763,0,1,1
5.4924718515,0,1,0
5.6157855579,0,1,1
5.6437704627,0,1,1
6.9836352359,1,1,1
5.656456394,0,1,0
5.993776986,0,0,0
6.3273014387,1,0,1
5.4232769193,0,0,1
5.5888824641,0,0,0
5.8114827433,0,0,0
6.8096318807,1,1,1
6.7818119239,1,1,1
5.0747341661,0,1,1
5.8907421393,0,0,0
5.8205368504,0,0,0
5.7058877395,1,1,1
6.6862161625,1,0,1
6.3649030703,1,1,1
5.0307883586,0,0,1
5.0019182236,0,1,0
5.7400002172,0,1,1
6.396598081,0,0,1
5.7400388054,0,0,0
5.0597072761,0,1,1
6.5716536768,1,1,1
7.160274766,1,1,1
6.1769676722,1,1,1
4.9432063575,0,0,1
7.195006029,1,1,1
6.2012701981,0,0,1
5.0489261884,0,1,0
6.7052289335,1,0,1
5.3451335988,0,1,0
5.0194812623,0,0,1
7.0678749616,1,0,0
5.6840068977,0,1,0
5.4212862726,0,1,0
5.7688690427,0,0,1
5.8032679676,0,0,1
5.2507983112,0,0,1
5.2889611599,0,1,1
5.7861890931,0,0,1
6.0522433118,1,0,1
6.3463686344,0,1,0
5.9118947852,0,0,0
6.5870286558,0,1,0
